Name,Layer,Subline,World,Type,HQ City,HQ State,HQ Country,Region,Founded,Total Funding ($M),Active Fleet,Real Miles (M),Simulated Miles (M),Spoken With,Exited,Acquired By,L4 Passenger Operator,Op Maturity,About,Known For,Website,Operating Footprint,Leadership,Business Model,Financing Notes,Investors Notes,Deployment Notes,Metrics Notes,Signal,Partner Count,Partners,Salience Score
Pony.ai,AV Driver / Autonomy Software,Robotaxi & passenger L4; Autonomous trucking L4,Passenger loop,Company,Guangzhou,,China,Greater China,2016,1713,1700,2.4,,Yes,,,Yes,Commercial-limited,"Chinese AV company spanning robotaxi and trucking. Pony.ai is one of the few public pure-play AV operators with meaningful Chinese deployment and Toyota / GAC ties. Runs a multi-sensor (lidar + camera) stack with a hybrid HD-map / light-map approach that can bootstrap a new city from navigation maps alone, and is shifting from rule-based planning toward a hybrid rule-based + end-to-end architecture.","First robotaxi operator to reach unit-economics breakeven in a single city (Shenzhen, 2026).",https://pony.ai,China; US testing history; international exploration,"James Peng, co-founder and CEO; Tiancheng Lou, CTO",Robotaxi fares; autonomous trucking; technology licensing,"Public (Nasdaq: PONY); $413M raised in the 2024 US IPO and placements, plus ~$860M gross in the November 2025 Hong Kong dual-primary listing",Toyota; public,"Beijing, Guangzhou, Shenzhen and Shanghai operations across northern, central and southern China's full weather range; truck testing on China freight lanes; overseas robotaxi entries across the Middle East, Singapore, South Korea and Europe; US presence refocused on R&D.","Fleet passed 1,700 robotaxis (May 2026); year-end 2026 target raised to 3,500+; first profitable quarter in Q4 2025 ($75.5M net income, driven mainly by an investment gain); Q1 2026 robotaxi revenue up 395% YoY; Gen-7 kit cut autonomy BOM about 70%, targeting all-in vehicle cost below ~RMB 230,000.","Unit-economics breakeven in Shenzhen and Guangzhou; citywide Shenzhen driverless permit with taxi operator Xihu Group; 1,000+ Toyota bZ4X-based robotaxis planned for 2026; China's first unmanned-cargo truck-platoon permit.",12,BAIC Group | ComfortDelGro Zig | Dubai RTA | GAC Group / GAC Toyota | Hesai | PonyPilot / Pony.ai Robotaxi | Ruqi Mobility | Stellantis | Tencent Cloud | Toyota | Uber | Verne,12
Pronto.ai,AV Driver / Autonomy Software,Autonomous haulage across Heidelberg quarries after SafeAI deal,Adjacent: Freight & Trucking,Company,San Francisco,CA,US,North America,2017,,,,,,,,,Commercial-limited,Off-road autonomous haulage (mining/quarry); acquired SafeAI 2025,,https://pronto.ai,,Anuja Sonalker (CEO),,Late-stage,Undisclosed,,,Acquired SafeAI; AHS tiered portfolio; Heidelberg quarries (2025),0,,7
QCraft,AV Driver / Autonomy Software,Robotaxi-rooted NOA maker with $100M raised for physical AI,Passenger loop,Company,Beijing,,China,Greater China,2019,249,,,,,,,,Closed testing,"L4 robotaxi + mass-market NOA ADAS; pivoting toward ""physical AI""/world models",,,,Yu Qian (CEO),,Series D,"Undisclosed automaker, industry funds",,,Raised $100M Series D for physical-AI push (Mar 2026),0,,4
Refraction AI,AV Driver / Autonomy Software,Lightweight bike-lane delivery robots with Ann Arbor roots,Passenger loop,Company,Austin,TX,US,North America,2017,,,,,,,,,Public pilot / commercial-limited,Developer of lightweight delivery robots designed for bike lanes and local roads. It appears less visible than Serve or Starship in 2026 and needs status verification.,,,United States,Leadership verify current,Delivery service and merchant/platform partnerships.,Private,Osage Venture Partners (exited),US local delivery pilots historically,Current operating footprint uncertain,No confirmed 2025-2026 operational expansion found,0,,10
Serve Robotics,AV Driver / Autonomy Software,"Sidewalk fleet on Uber Eats, targeting 2,000 robots by 2026",Adjacent: Delivery,Company,Redwood City,CA,US,North America,2017,247,,,,,,,,Commercial-limited,Sidewalk delivery robot company spun out of Postmates / Uber ecosystem. It operates through food delivery platforms and has a public-market profile.,"The largest sidewalk-delivery deployment in the US, 2,000 robots for Uber Eats.",https://serverobotics.com,United States,"Ali Kashani, co-founder and CEO",Robot delivery-as-a-service and platform partnerships.,Public (NASDAQ: SERV),"Uber (spun off 2021), Nvidia","LA, Miami, Chicago, Atlanta and other cities per public summaries.",Public sidewalk delivery robot operations via Uber Eats and DoorDash reported,"White Castle x Uber Eats launch; targeting 2,000 robots by end-2026 (Mar 2026)",3,Ouster | Uber | Uber Eats,12
Stack AV,AV Driver / Autonomy Software,SoftBank-backed trucking venture led by former Argo AI leaders,Adjacent: Freight & Trucking,Company,Pittsburgh,PA,US,North America,2023,1000,,,,,,,,R&D / closed testing,Autonomous trucking company founded by former Argo AI leaders and backed by SoftBank — a major entrant with deep autonomy talent.,,https://stackav.com,United States,"Bryan Salesky, co-founder and CEO",Autonomous trucking technology and future freight operations,Private; SoftBank-backed,SoftBank Group (~$1B),US development operations; commercial deployments not yet proven,SoftBank committed substantial capital at launch; commercial milestones still open,Pre-revenue pilot/demo stage as of mid-2026,0,,4
Starship Technologies,AV Driver / Autonomy Software,"9M autonomous deliveries logged across 2,700 sidewalk robots",Adjacent: Delivery,Company,San Francisco,CA,US,North America,2014,280,2700,,,,,,,Commercial-scaled in sidewalk delivery,"Leading sidewalk delivery robot company with university, grocery and local commerce deployments. It is the scaled long-tail delivery robot benchmark.",,https://starship.xyz,US; UK; Germany; Finland; Estonia,"Ahti Heinla and Janus Friis, founders",Per-delivery fees; retail and campus delivery partnerships,Late-stage private,"Iconical, TDK Ventures",270 locations across 7 countries reported by 2025; campus and grocery deployments,"9M deliveries, 2,700 robots and 19M km autonomously driven reported by 2025","Winding down US campus ops, redeploying 1,200+ robots to grocery/city (2026)",0,,12
Tesla Robotaxi / FSD,AV Driver / Autonomy Software,Robotaxi & passenger L4; L2+/L3 consumer ADAS stacks; Robotaxi consumer services,Passenger loop,Company,Austin,TX,US,North America,2003,,,,,,,,,Commercial-limited,Tesla runs a camera-forward supervised consumer FSD product and has begun a limited robotaxi service in US metros. The strategic bet is fleet scale through Tesla-owned vehicles and consumer cars.,"Launched supervised robotaxi service in Austin (2025), expanding to Miami (2026).",https://tesla.com,United States robotaxi pilots; global consumer ADAS footprint,"Elon Musk, CEO",Vehicle sales; FSD subscription / purchase; robotaxi fares,Public company,,Austin launch in 2025; Miami rollout reported in July 2026; other US metros announced or targeted,Miami robotaxi rollout reported July 2026; scale remains far smaller than Waymo,Expanded robotaxi service to Miami in July 2026,2,NHTSA | Tesla,12
Tier IV / Autoware,AV Driver / Autonomy Software,"AV middleware, dev platforms & tooling; Robotaxi & passenger L4",Passenger loop,Company,Tokyo,,Japan,Asia-Pacific,2015,,,,,,,,,Commercial-limited / public pilot,"Tier IV leads commercialization around Autoware, the open-source autonomous driving stack. It is strategically important as an open alternative to proprietary AV stacks.",,https://tier4.jp,Japan; global open-source ecosystem,"Shinpei Kato, founder","Software, reference platforms, robotaxi / shuttle projects and services",Private; Japanese government and investor support,,Japan autonomous taxi and shuttle projects; open-source global users,Japan L4 transport goals and Tier IV robotaxi projects reported,Japan self-driving EV taxi project and Autoware ecosystem continue,1,Tier IV,10
Torc Robotics,AV Driver / Autonomy Software,Daimler Truck's L4 subsidiary targeting 2027 commercial launch,Adjacent: Freight & Trucking,Company,Blacksburg,,US,North America,2005,,,,,,,,,Public pilot with safety driver,Daimler Truck subsidiary developing L4 software for Freightliner Cascadia. Its edge is OEM control over redundant truck platforms and factory integration.,Daimler-owned; targeting series-production driverless Freightliner Cascadias in 2027.,https://torc.ai,United States; Germany support,"Peter Vaughan Schmidt, CEO (Daimler Truck autonomous tech group)",Autonomous truck technology for Daimler Truck; future logistics services through OEM channel,Subsidiary,Daimler Truck (majority),"Testing in Texas, New Mexico and Virginia; Freightliner Cascadia platform",Aeva lidar and Daimler platform integration; production target generally 2026 to 2027 window,Driver-out validation milestone; targeting 2027 commercial launch (2026),3,Aeva | Daimler Truck | Daimler Truck / Freightliner,8
TuSimple,AV Driver / Autonomy Software,"Former autonomous trucking leader, now CreateAI in AI and gaming",Adjacent: Freight & Trucking,Company,,,US,North America,2015,,,,,,Yes,"Delisted 2024; rebranded CreateAI, exited US trucking",,Historical,"Former autonomous trucking leader that delisted and retreated after governance, regulatory and strategy issues. Include only as historical context and talent / IP legacy.",,https://tusimple.com,United States and China historical,Historical leadership varied,Historical autonomous trucking technology,Historical public company; delisted / restructured,Delisted Nasdaq,Former US and China autonomous trucking tests,No longer a leading active US trucking operator,"Rebranded CreateAI, pivoted to AI/gaming after US exit (Dec 2024)",0,,6
Waabi,AV Driver / Autonomy Software,Autonomous trucking L4; Simulation & synthetic data,Adjacent: Freight & Trucking,Company,Toronto,ON,Canada,North America,2021,1280,,,,,,,,Public pilot with safety driver / pre-driverless commercial,AI-first autonomous trucking company built around simulation-heavy development. In 2026 it became strategically important for Uber's robotaxi ambitions as well as Volvo truck autonomy.,Ported its learned driver between truck platforms without retraining; raised $1B.,https://waabi.ai,United States; Canada; future Uber platform,"Raquel Urtasun, founder and CEO; Lior Ron, COO",Autonomous trucking technology licensing; robotaxi partnership with Uber; simulation platform advantage,"$1.28B raised, including a $750M Series C (Jan 2026, Khosla and G2-led) and up to $250M in milestone-based investment from Uber","Uber, Khosla, G2VP, Volvo Group, Nvidia",Dallas-Houston freight with safety drivers; Volvo autonomous truck integration; robotaxi deployment announced with Uber,Volvo partnership to integrate Waabi Driver into VNL Autonomous trucks,"Expanding beyond trucking: January 2026 agreement with Uber to deploy at least 25,000 Waabi-powered robotaxis",3,Uber | Uber Freight | Volvo Trucks / Volvo Autonomous Solutions,12
Waymo,AV Driver / Autonomy Software,Robotaxi & passenger L4; Robotaxi consumer services,Passenger loop,Company,Mountain View,CA,US,North America,2009,27000,2500,220.6,15000,Yes,,,Yes,Commercial-scaled,Alphabet's robotaxi unit and the current scaled US commercial leader. It operates paid rider-only service and is expanding through both its own app and Uber in select markets.,"First to scale fully driverless ride-hailing: 100M+ rider-only miles across 10+ US metros, with London next.",https://waymo.com,United States; testing / planned UK and Japan,"Tekedra Mawakana and Dmitri Dolgov, co-CEOs",Per-ride revenue via Waymo One and Uber integrations; potential licensing and logistics extensions,"Alphabet subsidiary; $16B investment round closed February 2026 at a $126B valuation (Sequoia, DST, Dragoneer joined), following the $5.6B 2024 Series C","Alphabet; a16z, Fidelity, T. Rowe, Silver Lake, Mubadala","Phoenix, SF Bay Area, Los Angeles, Austin, Atlanta, Miami and Orlando open to the public; SFO airport service since January 2026; 2026 openings planned for Washington, Detroit, Las Vegas, San Diego, Denver, Dallas, Houston, San Antonio and Orlando; London confirmed as first international market, Tokyo in preparation with Nihon Kotsu and GO, and a German entity registered.","About 500,000 paid rides per week (July 2026) toward a stated 1M/week goal; 220M+ rider-only miles through March 2026; roughly 2,500 US robotaxis and growing monthly; 15B+ simulated miles.","Sixth-generation Driver launched February 2026: 42% fewer sensors and a unit cost under $20,000 — less than half the prior generation — riding on Zeekr-built vans and Hyundai IONIQ 5s, with Hyundai lined up to supply 50,000 units; 15M rides delivered in 2025; coverage tops 1,400 square miles across 11 cities.",19,Avis Budget Group | California Department of Motor Vehicles (California DMV) | California Public Utilities Commission (CPUC) | Element Fleet Management | GO Inc. | Hyundai Motor Group | Jaguar Land Rover | Lyft | Lyft Flexdrive | Magna | Moove AV / Moove | NHTSA | Swiss Re | Toyota | Transdev | Uber | Uber Eats | Waymo One | Zeekr,14
Wayve,AV Driver / Autonomy Software,Map-light end-to-end driving AI with $2.8B raised,Passenger loop,Company,London,,UK,Europe,2017,2610,,,,Yes,,,Yes,Public pilot with safety driver,"UK end-to-end AI driving company pursuing map-light, learned driving across vehicle types. Its thesis is scalable autonomy through foundation-model-like driving intelligence.",Raised the UK's largest AI round for end-to-end learned driving; partnered with Nissan and Uber.,https://wayve.ai,UK; Europe; US; Japan / global OEM evaluation,"Alex Kendall, co-founder and CEO",Technology licensing to OEMs and mobility platforms; robotaxi partnerships,Late-stage private; reported $2.8B raised and $8.6B valuation,"SoftBank, Nvidia, Microsoft, Nissan, Mercedes, Stellantis, Uber","UK testing toward a London robotaxi launch with Uber later in 2026 on a camera-first, mapless stack; Tokyo pilot targeted for late 2026 with Nissan and Uber; Stellantis partnership integrates the AI Driver into STLA AutoDrive with first North American vehicles planned for 2028.",Reuters reported $2.8B in funding and OEM / Uber partnerships in July 2026,Reuters reported automaker courting and Stellantis/Uber robotaxi link in July 2026,4,NVIDIA | Nissan | Uber | Wayve AI Driver,10
WeRide,AV Driver / Autonomy Software,Robotaxi & passenger L4; Goods delivery autonomy; Robotaxi consumer services,Passenger loop,Company,Guangzhou,,China,Greater China,2017,1857,1023,,,,,,Yes,Commercial-limited,"Chinese L4 autonomy company spanning robotaxis, robobuses, robovans and sanitation vehicles, with unusually broad international permits and Gulf deployment.",First driverless robotaxis in the Gulf; publicly listed and active in 30+ cities.,https://weride.ai,China; UAE; Saudi Arabia; Singapore; Europe pilots,"Tony Han, founder and CEO",Robotaxi fares; B2B autonomous shuttle / vehicle deployments; platform partnerships,Public (Nasdaq: WRD / HKEX: 0800); $440.5M US IPO and placements (Oct 2024) plus ~$308M Hong Kong dual-primary listing (Nov 2025),"Renault-Nissan-Mitsubishi, Bosch, Grab, Uber","China city services; fully driverless commercial operations in Abu Dhabi; Dubai and Riyadh scaling under a February 2026 plan with Uber for at least 1,200 robotaxis across the three cities by 2027; Spain's first commercial robotaxi pilot announced for Madrid with Uber and Avomo (June 2026); right-hand-drive GXR program with Geely Farizon and Hong Kong bus operator Kwoon Chung.","1,023 robotaxis globally (January 2026), expected to surpass 2,600 in 2026 as purpose-built Geely Farizon GXRs enter production; AV permits in eight countries; Q1 2026 revenue RMB 114.1M, up 57.6% YoY at a 34.7% gross margin.",Suspended Dubai fleet during March 2026 regional tensions while continuing Abu Dhabi / Riyadh activity,6,Abu Dhabi ITC | Grab | Renault Group | Singapore Land Transport Authority (LTA) | Uber | WeRide Go / WeRide Robotaxi,12
